#VCC_CLASS,Spect.Avail,Spect.Av.LowQuality,Spect.ToBeObs.,Photm.Avail,Photm.Av.LowQuality,Photm.ToBeObs.,ACS,RA(J2000),DEC(J2000),RA_d(J2000),DEC_d(J2000),mag-r,SB_r,hl_SMA
0200 dE(N),,,,,,NOT2010,1,12 16 33.70,+13 01 53.61,184.140417,13.031558,14.02,22.46,13.1
0230 dE(N),,,,,,NOT2010,1,12 17 19.64,+11 56 36.32,184.331833,11.943422,14.72,22.4,10.6
0545 dE(N),,,,,,NOT2010,0,12 22 19.64,+15 44 01.20,185.581833,15.733667,14.48,22.78,13.8
0870 dE(bc),,,,,,NOT2010,-99,12 26 05.37,+11 48 43.42,186.522375,11.812061,14.1,22.44,16.7
0917 dE(nN),WHT,,,,,NOT2010,0,12 26 32.39,+13 34 43.54,186.634958,13.578761,14.54,21.5,10.0
1104 dE(N),,,VLT_Thorsten,,,NOT2010,0,12 28 28.05,+12 49 25.38,187.116875,12.823717,14.51,22.61,14.3
1122 dE(N),WHT,,,,,NOT2010,0,12 28 41.71,+12 54 57.08,187.173792,12.915856,13.96,22.25,17.5
1304 dE(di),,,,,,NOT2010,0,12 30 39.90,+15 07 46.68,187.666250,15.129633,14.23,21.83,16.6
1308 dE(N),,,,,,NOT2010,0,12 30 45.94,+11 20 35.52,187.691417,11.343200,14.59,22.14,11.7
1407 dE(N),,,,,,NOT2010,1,12 32 02.73,+11 53 24.46,188.011375,11.890128,14.14,22.32,12.2
1453 dE(N),WHT,,,,,NOT2010,0,12 32 44.22,+14 11 46.17,188.184250,14.196158,13.25,22.43,19.1
1488 dE(bc),,,,,,NOT2010,-99,12 33 13.46,+09 23 50.60,188.306083,9.397389,14.12,22.25,14.2
1826 dE(N),,,,,,NOT2010,1,12 40 11.26,+09 53 45.99,190.046917,9.896108,14.79,21.75,8.1
0538 M32-type,,,,,,NOT2010,-99,12 22 14.74,+07 10 01.72,185.561417,7.167144,15.18,21.6,5.4
1175 M32-type,,,,,,NOT2010,-99,12 29 18.20,+10 08 08.99,187.325833,10.135831,15.29,22.19,7.9
1475 E,,,,,,NOT2010,-99,12 33 04.97,+16 15 55.90,188.270708,16.265528,12.31,20.12,11.4
1545 M32-type,,,,,,NOT2010,-99,12 34 11.53,+12 02 56.27,188.548042,12.048964,13.97,22.05,13.2
1993 M32-type,,,,,,NOT2010,-99,12 44 12.02,+12 56 30.60,191.050083,12.941833,14.61,22.92,12.5
1833 S0,,,,,,NOT2010,-99,12 40 19.68,+15 56 07.01,190.082000,15.935281,13.69,21.04,8.9
0571 S0,,,,,,NOT2010,-99,12 22 41.15,+07 57 01.38,185.671458,7.950383,14.32,22.21,14.2
